Name,Address
"Lexington, The Summit at Fritz Farm",111 Summit at Fritz Farm
"Louisville, Oxmoor Center",7900 Shelbyville Rd.
"New Orleans, Warby Parker Frame Studio",3964 Magazine Street|Uptown
"Baltimore, Harbor East",807 Aliceanna Street
"Bethesda, Bethesda Row",4821 Bethesda Avenue
"Boston, Newbury St.",83 Newbury Street|Back Bay
"Boston, Boston Seaport",72 Seaport Boulevard|Seaport District
"Boston, Prudential Center",800 Boylston Street
"Cambridge, Cambridge",39 John F. Kennedy Street|Harvard Square
"Chestnut Hill, The Street at Chestnut Hill",33 Boylston St.|Opening 2020
"Ann Arbor, Warby Parker Pencil Room",304 S Main Street|Downtown
"Detroit, Woodward Ave.",1449 Woodward Avenue|Downtown
"Troy, Somerset",2800 West Big Beaver Road
"Edina, Galleria Edina",3408 Galleria|Richfield
"Minneapolis, North Loop",113 North Washington Avenue
"Kansas City, Country Club Plaza",307 Nichols Road
"St. Louis, Central West End",304 North Euclid Avenue|Central West End
"St. Louis, Plaza Frontenac",30 Plaza Frontenac St.
"Las Vegas, Downtown Summerlin",1980 Festival Plaza Dr.|Summerlin South
"Hoboken, Hoboken",538 Washington Street
"Paramus, Garden State Plaza",One Garden State Plaza|Paramus
"Shrewsbury, The Grove at Shrewsbury",639 Broad Street
"Westfield, Westfield",126 Central Avenue|Downtown
"Brooklyn, Bergen St.",55 Bergen Street|Cobble Hill
"Brooklyn, Flatbush Ave.",208 Flatbush Ave.
"Brooklyn, N. 6th St.",124 North 6th St.|Williamsburg
"East Hampton, Warby Parker Beach Reads",48 Main Street|East Hampton
"New York City, New York City HQ and Showroom",233 Spring Street|SoHo
"New York City, Lexington Ave.",1209 Lexington Avenue|Upper East Side
"New York City, Rockefeller Center",1258 Avenue of the Americas|Midtown
"New York City, Greene St.",121 Greene Street|SoHo
"New York City, Columbus Ave.",185 Columbus Avenue|Upper West Side
"New York City, Washington St.",819 Washington Street|Meatpacking District
"New York City, Grand Central",25 Grand Central Terminal|Midtown
"Charlotte, SouthPark",4400 Sharon Road|Barclay Downs
"Charlotte, Atherton Mill",2000 South Boulevard|South End
"Raleigh, North Hills",4154 Main At North Hills St
"Cincinnati, Over-the-Rhine",1419 Vine Street
"Cincinnati, Kenwood Towne Centre",7875 Montgomery Rd.|Opening 2020
"Columbus, Easton Town Center",4049 The Strand E
"Columbus, Short North",601 N. High Street
"Orange Village, Pinecrest",255 Park Avenue|Orange Village
"Oklahoma City, Classen Curve",5840 North Classen Boulevard|Meadowbrook Acres
"Tulsa, Center 1",3516 South Peoria Ave|Brookside
"Portland, Warby Parker Do Good Arcade",817 NW 23rd Avenue|Nob Hill
"King of Prussia, King of Prussia",160 N Gulph Road
"Philadelphia, Walnut St.",1523 Walnut Street|Center City
"Pittsburgh, East Liberty",6016 Penn Avenue|East Liberty
"Pittsburgh, Ross Park",1000 Ross Park Mall Drive
"Providence, Thayer St.",271 Thayer St.|Opening 2020
"Nashville, Edgehill",1207 Villa Place|Edgehill Village
"Nashville, Green Hills",2126 Abbott Martin Road
"Austin, Domain Northside",11700 Domain Boulevard
"Austin, South Congress",1317 South Congress Avenue|SoCo
"Dallas, NorthPark Center",8687 North Central Expressway
"Dallas, Warby Parker Classroom",2008 North Henderson Avenue|Knox-Henderson
"Fort Worth, WestBend",1653 River Run
"Houston, Highland Village",4078 Westheimer Road
"Houston, Rice Village",2518 University Boulevard|University Village
"Houston, Heights Mercantile",645 Heights Boulevard|The Heights
"Houston, CityCentre",800 Town and Country Blvd.|Memorial
"Plano, Legacy West",7701 Windrose Avenue|Plano
"Southlake, Southlake Town Square",215 Grand Avenue
"The Woodlands, The Woodlands",9595 Six Pines Drive
"Salt Lake City, 9th & 9th",922 East 900 South|East Central
"Alexandria, Old Town",805 King Street
"Fairfax, Mosaic",2920 District Avenue|Merrifield
"Tysons Corner, Tysons Corner",8013 Tysons Corner Center
"Seattle, University Village",2619 N.E. University Village Street|Ravenna
"Seattle, Capitol Hill",305 East Pine Street|Capitol Hill
"Madison, State St.",401 State Street|Downtown Madison
"Milwaukee, Third Ward",315 North Broadway|Historic Third Ward
"Vancouver, West 4th Ave.",2290 West 4th Avenue|Kitsilano
"Toronto, Queen Street West",684 Queen Street West|Queen West
"Toronto, Yorkdale",3401 Dufferin Street|Yorkdale Shopping Centre
